,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
70,cherry-lollipop-2-pack,Cherry Lollipop 2-pack,Tidal,[6.19],False,[],,,Edible,
71,chocolate-peanut-butter-cups,Chocolate Peanut Butter Cups,HALFTIME,[6.19],False,[],,,Edible,
72,classic-kingsize-slim-papers-84759,Classic Kingsize Slim Papers,RAW,[2.65],False,[],,,Accessories,
73,classic-supernatural-cones,Classic Supernatural Cones,RAW,[6.19],False,[],,,Accessories,
74,clipper-leaves-colours-series-lighters-3902,Clipper Leaves Colours Series Lighters,Smoke Arsenal Inc.,[3.09],False,[],,,Accessories,
75,cocoa-bomba-pre-roll-3-pack-1-5g,Cocoa Bomba Pre-Roll 3-Pack | 1.5g,Spinach,[15.05],False,[],,,Pre-Rolls,
76,cold-creek-kush,Cold Creek Kush,Vertical,[9.73],False,[],,,Flower,
77,cookies-and-cream-white-chocolate,Cookies and Cream White Chocolate,Bhang,[5.31],False,[],,,Edible,
78,cool-mint-crush-infused-mini-j-s-5-pack-1-75g,Cool Mint Crush Infused Mini J's 5-pack | 1.75g,Violet Tourist,[33.62],False,[],,,Pre-Rolls,
79,couch-lock-kush-cartridge-1-2g,Couch Lock Kush Cartridge | 1.2g,BoxHot,[48.67],False,[],,,Vaporizers,
80,crazy-cream-soda-gummies-4-pack,Crazy Cream Soda Gummies 4-pack,SHRED,[5.31],False,[],,,Edible,
81,cream-soda,Cream Soda,XMG,[8.85],False,[],,,Edible,
82,cream-soda-radsicle,Cream Soda RADsicle,RAD,[7.97],False,[],,,Edible,
83,creemore-valley-kush-cartridge-1g,Creemore Valley Kush Cartridge | 1g,Purple Hills,[61.95],False,[],,,Vaporizers,
84,cucumber-mint-cbd-sparkling-water-20mg,Cucumber Mint CBD Sparkling Water | 20mg,QUATREAU,[5.31],False,[],,,Edible,
85,dankmeister-xl,Dankmeister XL,SHRED,[30.97],False,[],,,Flower,
86,dark-shadow-haze,Dark Shadow Haze,Elios,[38.05],False,[],,,Flower,
87,diamond-1-1-2-pack,Diamond 1:1 2-pack,Tidal,[6.19],False,[],,,Edible,
88,dissolvable-thc-powder-single-10mg,Dissolvable THC Powder Single | 10mg,The Green Organic Dutchman,[7.96],False,[],,,Edible,
89,distillate-taster-pack-infused-pre-roll-3-pack-1-5g,Distillate Taster Pack Infused Pre-Roll 3-pack | 1.5g,General Admission,[25.67],False,[],,,Pre-Rolls,
90,doob-tubes-10-5cm,Doob Tubes 10.5cm,Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
91,dosidos-shatter-1g,Dosidos Shatter | 1g,Dymond Concentrates 2.0,[32.75],False,[],,,Concentrate,
92,drew-s-pheno-pre-roll-3-pack-1-5g,Drew's Pheno Pre-Roll 3-pack | 1.5g,Carmel Cannabis,[19.47],False,[],,,Pre-Rolls,
93,elderberry-citrus-essential-10-1-cbd-lozenges-10-pack,Elderberry Citrus Essential 10:1 CBD Lozenges 10-Pack,Olli,[17.7],False,[],,,Edible,
