,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
36,flowertopia,crystal-pipe-hanna-dragons-blood,Crystal Pipe Hanna - Dragons Blood,Humble and Fume,30.99,False,,,,Accessories,
37,flowertopia,dark-helmet-ge-pre-rolls-1-5g,Dark Helmet GE Pre-Rolls | 1.5g,JWC,14.99,False,,,,Pre-Rolls,
38,flowertopia,dissolvable-thc-powder-single-10mg,Dissolvable THC Powder Single | 10mg,The Green Organic Dutchman,7.5,False,,,,Edible,
39,flowertopia,dosidos-x-purple-punch-cbn-cartridge-1g,Dosidos x Purple Punch CBN Cartridge | 1g,Northbound Cannabis,40.95,False,,,,Vaporizers,
40,flowertopia,dragon-s-lettuce-premium-sativa-3-5g,Dragon's Lettuce Premium Sativa | 3.5g,THC BioMed,16.55,False,,,,Flower,
41,flowertopia,eagle-torch-lighter,Eagle Torch Lighter,One Wholesale,16,False,,,,Accessories,
42,flowertopia,elements-rice-smoking-papers-king,Elements Rice smoking Papers King,One Wholesale,2.8,False,,,,Accessories,
43,flowertopia,evolve-vaporizer-black,Evolve Vaporizer | Black,Yocan,22.99,False,,,,Accessories,
44,flowertopia,evolve-vaporizer-silver,Evolve Vaporizer | Silver,Yocan,22.99,False,,,,Accessories,
45,flowertopia,feelz-pineapple-starfruit-2-1-thc-cbg-gummies,Feelz Pineapple Starfruit 2:1 THC:CBG Gummies,Spinach,8.2,False,,,,Edible,
46,flowertopia,flowertopia-bic-lighter-black,Flowertopia BIC Lighter - Black,,2.2,False,,,,Accessories,
47,flowertopia,flowertopia-bic-lighter-green,Flowertopia BIC Lighter - Green,,2.2,False,,,,Accessories,
48,flowertopia,flowertopia-bic-lighter-red,Flowertopia BIC Lighter - Red,,2.2,False,,,,Accessories,
49,flowertopia,flowertopia-grinder-2-piece-plastic,Flowertopia Grinder - 2 piece plastic,Humble and Fume,1.99,False,,,,Accessories,
50,flowertopia,flowertopia-grinder-3-piece-metal,Flowertopia Grinder - 3 piece metal,Humble and Fume,19.99,False,,,,Accessories,
51,flowertopia,flowertopia-papers-1-1-4,"Flowertopia Papers - 1 1/4""",,1.99,False,,,,Accessories,
52,flowertopia,flowertopic-bic-lighter-yellow,Flowertopic BIC Lighter - Yellow,,2.2,False,,,,Accessories,
53,flowertopia,forbidden-fruit-cartridge-0-45g,Forbidden Fruit Cartridge | 0.45g,Back Forty,23,False,,,,Vaporizers,
54,flowertopia,frozen-grapes,Frozen Grapes,18twelve ,38.49,False,,,,Flower,
55,flowertopia,funk-master,Funk Master,SHRED,31,False,,,,Flower,
56,flowertopia,ghost-train-haze,Ghost Train Haze,Color Cannabis,27.95,False,,,,Flower,
57,flowertopia,gnarberry,Gnarberry,SHRED,31,False,,,,Flower,
58,flowertopia,gorilla-berry-pre-roll-3-pack-1-5g,Gorilla Berry Pre-Roll 3-pack | 1.5g,GreenSeal Cannabis Co. ,16.5,False,,,,Pre-Rolls,
59,flowertopia,granddaddy-purple-cartridge-0-5g,Granddaddy Purple Cartridge | 0.5g,HEXO,24.99,False,,,,Vaporizers,
60,flowertopia,grape-canyon-soft-chew,Grape Canyon Soft Chew,Fly North,4.5,False,,,,Edible,
61,flowertopia,green-6-glass-water-bong,"Green 6"" Glass Water Bong",One Wholesale,16,False,,,,Accessories,
62,flowertopia,grower-s-choice-indica-pre-roll-1g,Grower's Choice Indica Pre-Roll | 1g,Good Supply,6.99,False,,,,Pre-Rolls,
63,flowertopia,grower-s-choice-sativa-pre-roll-1g,Grower's Choice Sativa Pre-Roll | 1g,Good Supply,6.49,False,,,,Pre-Rolls,
64,flowertopia,hazy-honey-0-5g,Hazy Honey | 0.5g,BOAZ ,29.95,False,23.96,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 20, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '62470e9a0211197a6cefb2b6', 'specialName': 'Self Care Saturday', 'specialRestrictions': {'concentrates-oil': {'discountType': 'percentDiscount'}, 'capsules-tablets': {'discountType': 'percentDiscount'}, 'Topicals': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Concentrate,
65,flowertopia,hempertech-8-puck-rig-w-inline-perc,"HemperTech 8"" Puck Rig w/ Inline Perc",Humble and Fume,37.99,False,,,,Accessories,
66,flowertopia,henry-the-grape-ape-1g,Henry The Grape Ape | 1g,Roilty Extracts,38,False,,,,Vaporizers,
67,flowertopia,honeystick-twist-510-battery-blue,Honeystick Twist 510 Battery - Blue,Maq Distributors,11,False,,,,Accessories,
68,flowertopia,honeystick-twist-510-battery-silver,Honeystick Twist 510 Battery - Silver,Maq Distributors,11,False,,,,Accessories,
69,flowertopia,i-c-c,I.C.C.,Big Bag O Buds,138.46,False,,,,Flower,
