,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
51,toke,bubba-kush-chocolate-hashberry-blue-dream-bath-bomb-3-pack,Bubba Kush | Chocolate Hashberry | Blue Dream  | Bath Bomb 3-pack,Stewart Farms,30.97,False,,,,Topicals,
52,toke,bubble-mints-32404,Bubble Mints,Pure Sunfarms,21.23,False,,,,Flower,
53,toke,cbd-blood-orange-soft-chew-30-pack,CBD Blood Orange Soft Chew 30-pack,Foray,17.7,False,,,,Edible,
54,toke,cbd-milk-chocolate,CBD Milk Chocolate,Bhang,5.31,False,,,,Edible,
55,toke,cbd-oil-30ml,CBD Oil | 30ml,Five Founders,22.12,False,,,,Concentrate,
56,toke,cbd-vanilla-rooibos-tea-3-pack,CBD Vanilla Rooibos Tea 3-pack,Everie,17.69,False,,,,Edible,
57,toke,cbn-blueberry-moon-2-1-gummies-10-pack,CBN Blueberry Moon 2:1 Gummies 10-pack,Sunshower,10.62,False,,,,Edible,
58,toke,cvault-humidity-control-stash-container,CVault - Humidity Control Stash Container,Smoke Arsenal Inc.,22.12,False,,,,Accessories,
59,toke,cake-pop-blnt-1g,Cake Pop BLNT | 1g,BLKMKT,15.93,False,,,,Pre-Rolls,
60,toke,camino-sour-watermelon-splash-soft-chews,Camino Sour Watermelon Splash Soft Chews,Kiva,7.97,False,,,,Edible,
61,toke,cannaccino-cartridge-1g,Cannaccino Cartridge | 1g,Fuego,35.4,False,,,,Vaporizers,
62,toke,cherry-cola-10,Cherry Cola 10,Sweet Justice,8.85,False,,,,Edible,
63,toke,cherry-head-seeds-4-pack,Cherry Head Seeds | 4-pack,Pure Sunfarms,37.17,False,,,,Seeds,
64,toke,cherry-kush-cartridge-1-2g,Cherry Kush Cartridge | 1.2g,BoxHot,48.67,False,,,,Vaporizers,
65,toke,cherry-lollipop-2-pack,Cherry Lollipop 2-pack,Tidal,6.19,False,,,,Edible,
66,toke,chocolate-peanut-butter-cups,Chocolate Peanut Butter Cups,HALFTIME,6.19,False,,,,Edible,
67,toke,classic-kingsize-slim-papers-84759,Classic Kingsize Slim Papers,RAW,2.65,False,,,,Accessories,
68,toke,classic-supernatural-cones,Classic Supernatural Cones,RAW,6.19,False,,,,Accessories,
69,toke,clipper-leaves-colours-series-lighters-3902,Clipper Leaves Colours Series Lighters,Smoke Arsenal Inc.,3.09,False,,,,Accessories,
70,toke,cocoa-bomba-pre-roll-3-pack-1-5g,Cocoa Bomba Pre-Roll 3-Pack | 1.5g,Spinach,15.05,False,,,,Pre-Rolls,
71,toke,cold-creek-kush,Cold Creek Kush,Vertical,9.73,False,,,,Flower,
72,toke,cookies-and-cream-white-chocolate,Cookies and Cream White Chocolate,Bhang,5.31,False,,,,Edible,
73,toke,cool-mint-crush-infused-mini-j-s-5-pack-1-75g,Cool Mint Crush Infused Mini J's 5-pack | 1.75g,Violet Tourist,33.62,False,,,,Pre-Rolls,
74,toke,couch-lock-kush-cartridge-1-2g,Couch Lock Kush Cartridge | 1.2g,BoxHot,48.67,False,,,,Vaporizers,
75,toke,crazy-cream-soda-gummies-4-pack,Crazy Cream Soda Gummies 4-pack,SHRED,5.31,False,,,,Edible,
76,toke,cream-soda,Cream Soda,XMG,8.85,False,,,,Edible,
77,toke,cream-soda-radsicle,Cream Soda RADsicle,RAD,7.97,False,,,,Edible,
78,toke,creemore-valley-kush-cartridge-1g,Creemore Valley Kush Cartridge | 1g,Purple Hills,61.95,False,,,,Vaporizers,
79,toke,cucumber-mint-cbd-sparkling-water-20mg,Cucumber Mint CBD Sparkling Water | 20mg,QUATREAU,5.31,False,,,,Edible,
80,toke,dankmeister-xl,Dankmeister XL,SHRED,30.97,False,,,,Flower,
81,toke,dark-shadow-haze,Dark Shadow Haze,Elios,38.05,False,,,,Flower,
82,toke,diamond-1-1-2-pack,Diamond 1:1 2-pack,Tidal,6.19,False,,,,Edible,
83,toke,dissolvable-thc-powder-single-10mg,Dissolvable THC Powder Single | 10mg,The Green Organic Dutchman,7.96,False,,,,Edible,
84,toke,distillate-taster-pack-infused-pre-roll-3-pack-1-5g,Distillate Taster Pack Infused Pre-Roll 3-pack | 1.5g,General Admission,25.67,False,,,,Pre-Rolls,
85,toke,doob-tubes-10-5cm,Doob Tubes 10.5cm,Smoke Arsenal Inc.,1.77,False,,,,Accessories,
86,toke,drew-s-pheno-pre-roll-3-pack-1-5g,Drew's Pheno Pre-Roll 3-pack | 1.5g,Carmel Cannabis,19.47,False,,,,Pre-Rolls,
87,toke,elderberry-citrus-essential-10-1-cbd-lozenges-10-pack,Elderberry Citrus Essential 10:1 CBD Lozenges 10-Pack,Olli,17.7,False,,,,Edible,
88,toke,elderflower-pom-1-1-beverage,Elderflower Pom 1:1 Beverage,Sweet Justice,8.85,False,,,,Edible,
89,toke,exotic-gas-35455,Exotic Gas,The Loud Plug,101.77,False,,,,Flower,
90,toke,feelz-blackberry-kush-cbn-cartridge-1g,Feelz Blackberry Kush CBN Cartridge | 1g,Spinach,44.24,False,,,,Vaporizers,
